Variable	Commentaire	Date de départ	Heure de départ	Valeur
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:05:40,407	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:05:41,395	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:05:41,395	FAUX
BLOQINT	Sortir la butée de la glissière intermédiaire	04/06/2021	17:05:41,395	VRAI
stop_in	Stoppeur intermédiaire rentrée	04/06/2021	17:05:41,518	FAUX
but_int	butée de la glissière intermédiaire sortie	04/06/2021	17:05:41,518	VRAI
stop_out	Stoppeur intermédiaire sortie	04/06/2021	17:05:41,518	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:05:41,518	VRAI
STOPINT	Sortir le stoppeur intermédiaire (axe X )	04/06/2021	17:05:41,518	VRAI
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:05:41,889	FAUX
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:05:43,208	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:43,208	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:43,208	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:05:43,208	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:43,208	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:43,330	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:43,330	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:43,607	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:05:43,729	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:43,729	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:43,729	FAUX
fermee	Pince fermée.	04/06/2021	17:05:43,822	FAUX
ouvert	Pince ouverte.	04/06/2021	17:05:43,822	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:05:43,822	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:43,822	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:43,822	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:43,822	VRAI
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:05:44,007	VRAI
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:44,409	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:44,409	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:44,806	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:44,930	VRAI
stop_out	Stoppeur intermédiaire sortie	04/06/2021	17:05:44,930	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:44,930	FAUX
STOPINT	Sortir le stoppeur intermédiaire (axe X )	04/06/2021	17:05:44,930	FAUX
stop_in	Stoppeur intermédiaire rentrée	04/06/2021	17:05:45,053	VRAI
BLOQINT	Sortir la butée de la glissière intermédiaire	04/06/2021	17:05:45,053	FAUX
but_int	butée de la glissière intermédiaire sortie	04/06/2021	17:05:45,176	FAUX
